latitude	longitude,altitude,geometry,rmcSite,rmcDrive,rmcPose,firstSol,lastSol,xCorrected,yCorrected
-14.585088007578221,175.51611125893345,,Point,91,0,0,310,311,954.99,-864526.68
-14.584803906592407,175.51651024873834,,Point,92,0,0,312,313,978.64,-864509.84
-14.58467299069871,175.516956982355,,Point,93,0,0,313,317,1005.12,-864502.08
-14.58449854864448,175.5175501528218,,Point,94,0,0,317,325,1040.28,-864491.74
-14.584428366928268,175.51800515303484,,Point,95,0,0,325,326,1067.25,-864487.58
-14.584145953002944,175.51839739459777,,Point,96,0,0,326,328,1090.5,-864470.84
-14.583907402650249,175.51874982153328,,Point,97,0,0,328,330,1111.39,-864456.7
-14.583766364393636,175.51911017765303,,Point,98,0,0,330,331,1132.75,-864448.34
-14.583722838233102,175.51931937315325,,Point,99,0,0,331,332,1145.15,-864445.76
-14.583736166010942,175.51923316436242,,Point,100,0,0,337,338,1140.04,-864446.55
-14.583774968402114,175.51927787146533,,Point,101,0,0,338,339,1142.69,-864448.85
-14.583774968402114,175.51927787146533,,Point,102,0,0,339,340,1142.69,-864448.85
-14.584153038656982,175.52045611450862,,Point,103,0,0,390,392,1212.53,-864471.26
-14.584265734297436,175.52058888616884,,Point,104,0,0,392,394,1220.4,-864477.94
-14.584345026140268,175.52073312984038,,Point,105,0,0,398,399,1228.95,-864482.64
-14.584345026140268,175.52071980206256,,Point,106,0,0,399,400,1228.16,-864482.64
-14.584444394002885,175.52088074763287,,Point,107,0,0,404,406,1237.7,-864488.53
-14.584580877196185,175.52103511366735,,Point,108,0,0,409,414,1246.85,-864496.62
-14.5849004064522,175.52086235867358,,Point,109,0,0,437,439,1236.61,-864515.56
-14.584814366367421,175.5206980389823,,Point,110,0,0,473,474,1226.87,-864510.46
-14.584916770938912,175.5203258734391,,Point,111,0,0,514,515,1204.81,-864516.53
-14.586419435713621,175.51985180944257,,Point,112,0,0,524,527,1176.71,-864605.6
-14.58725571159644,175.52114494130498,,Point,113,0,0,549,550,1253.36,-864655.17
-14.587360815464706,175.52328092858605,,Point,114,0,0,582,583,1379.97,-864661.4
-14.586818931636666,175.52449038224833,,Point,115,0,0,635,637,1451.66,-864629.28
-14.586794469259619,175.52480822444386,,Point,116,0,0,637,638,1470.5,-864627.83
-14.586839345068542,175.52523353239235,,Point,117,0,0,638,639,1495.71,-864630.49
-14.586826523408849,175.52550514913054,,Point,118,0,0,639,642,1511.81,-864629.73
-14.586883546053269,175.52749841109454,,Point,119,0,0,655,658,1629.96,-864633.11
-14.590206549092171,175.52825202101354,,Point,120,0,0,692,693,1674.63,-864830.08
-14.591783950646406,175.52566693823113,,Point,121,0,0,706,707,1521.4,-864923.58
-14.59398219045942,175.52716589147278,,Point,122,0,0,714,716,1610.25,-865053.88
-14.595139682658733,175.52698149576167,,Point,123,0,0,730,732,1599.32,-865122.49
-14.599602126349753,175.52558848991856,,Point,124,0,0,744,746,1516.75,-865387
-14.599552526771474,175.52612750574377,,Point,125,0,0,766,767,1548.7,-865384.06
-14.601193867918118,175.52713788626872,,Point,126,0,0,779,781,1608.59,-865481.35
-14.601067000969582,175.52685547234339,,Point,127,0,0,807,809,1591.85,-865473.83
-14.601067000969582,175.52685547234339,,Point,128,0,0,855,857,1591.85,-865473.83
-14.600506728182244,175.52690625286402,,Point,129,0,0,1164,1166,1594.86,-865440.62
-14.600411071852701,175.52704729112062,,Point,130,0,0,1223,1232,1603.22,-865434.95
-14.600521236902424,175.52661084857294,,Point,131,0,0,1312,1315,1577.35,-865441.48
-14.60093574766379,175.5259741519456,,Point,132,0,0,1359,1362,1539.61,-865466.05
-14.59973810342491,175.5263665622146,,Point,133,0,0,1408,1409,1562.87,-865395.06
-14.599723088586588,175.52637145469,,Point,134,0,0,1467,1470,1563.16,-865394.17
-14.599724775647074,175.52636318809363,,Point,135,0,0,1721,1721,1562.67,-865394.27
-14.599642447095366,175.52650743176517,,Point,136,0,0,1831,1831,1571.22,-865389.39
-14.60008648141523,175.5253681598191,,Point,137,0,0,1869,1870,1503.69,-865415.71
