ROVER MOTION COUNTER (partial)								
SITE	DRIVE	START_SOL	END_SOL	RAW_X	RAW_Y	RAW_Z	CORRECTED_X	CORRECTED_Y
89	0	265	266	2467,694	-1106,063	0	914,05	-864538,6
90	0	306	310	2490,871	-1093,112	0	939,54	-864524,87
91	0	310	311	2505,843	-1094,917	0	954,99	-864526,68
92	0	312	313	2524,578	-1079,528	0	978,64	-864509,84
93	0	313	317	2548,832	-1071,909	0	1005,12	-864502,08
94	0	317	325	2586,16	-1063,862	0	1040,28	-864491,74
95	0	325	326	2619,727	-1062,953	0	1067,25	-864487,58
96	0	326	328	2645,111	-1048,352	0	1090,5	-864470,84
97	0	328	330	2667,617	-1035,037	0	1111,39	-864456,7
98	0	330	331	2692,569	-1026,525	0	1132,75	-864448,34
99	0	331	332	2715,895	-1029,261	0	1145,15	-864445,76
100	0	337	338	2711,747	-1031,807	0	1140,04	-864446,55
101	0	338	339	2714,249	-1034,382	0	1142,69	-864448,85
102	0	339	340	2714,249	-1034,382	0	1142,69	-864448,85
103	0	390	392	2784,883	-1056,121	0	1212,53	-864471,26
104	0	392	394	2793,746	-1063,435	0	1220,4	-864477,94
105	0	398	399	2807,189	-1071,707	0	1228,95	-864482,64
106	0	399	400	2806,83	-1071,909	0	1228,16	-864482,64
107	0	404	406	2815,614	-1077,116	0	1237,7	-864488,53
108	0	409	414	2825,214	-1086,525	0	1246,85	-864496,62
109	0	437	439	2816,173	-1107,428	0	1236,61	-864515,56
110	0	473	474	2806,112	-1102,403	0	1226,87	-864510,46
111	0	514	515	2784,494	-1109,647	0	1204,81	-864516,53
112	0	524	527	2760,618	-1205,954	0	1176,71	-864605,6
113	0	549	550	2842,154	-1250,74	0	1253,36	-864655,17
114	0	582	583	2964,432	-1257,483	0	1379,97	-864661,4
115	0	635	637	3027,532	-1222,632	0	1451,66	-864629,28
116	0	637	638	3046,006	-1219,806	0	1470,5	-864627,83
117	0	638	639	3069,413	-1221,911	0	1495,71	-864630,49
118	0	639	642	3084,317	-1221,327	0	1511,81	-864629,73
119	0	655	658	3198,702	-1223,318	0	1629,96	-864633,11
120	0	692	693	3247,188	-1416,341	0	1674,63	-864830,08
121	0	706	707	3096,905	-1505,777	0	1521,4	-864923,58
122	0	714	716	3185,943	-1640,365	0	1610,25	-865053,88
123	0	730	732	3169,121	-1711,82	0	1599,32	-865122,49
124	0	744	746	3092,566	-1977,098	0	1516,75	-865387
125	0	766	767	3126,394	-1973,526	0	1548,7	-865384,06
126	0	779	781	3187,692	-2069,408	0	1608,59	-865481,35
127	0	807	809	3175,678	-2060,785	0	1591,85	-865473,83
128	0	855	857	3175,678	-2060,785	0	1591,85	-865473,83
129	0	1164	1166	3178,162	-2026,253	0	1594,86	-865440,62
130	0	1223	1232	3185,906	-2020,824	0	1603,22	-865434,95
131	0	1312	1315	3161,369	-2027,951	0	1577,35	-865441,48
132	0	1359	1362	3127,297	-2055,68	0	1539,61	-865466,05
133	0	1408	1409	3147,661	-1984,069	0	1562,87	-865395,06
134	0	1467	1470	3147,799	-1983,592	0	1563,16	-865394,17
135	0	1721	1721	3147,597	-1983,786	0	1562,67	-865394,27
136	0	1831	1831	3158,62	-1981,951	0	1571,22	-865389,39
137	0	1869	1870	3101,965	-2015,853	0	1503,69	-865415,71
138	0	2072	2072	3104,65	-2034,054	0	1503,97	-865431,99
