latitude	longitude	altitude	geometry	rmcSite	rmcDrive	rmcPose	firstSol	lastSol	xCorrected	yCorrected
-14.582856701379688	175.51120208162578		Point	63	0	0	151	152	664	-864394.42
-14.58353759899176	175.51227640174315		Point	64	6	0	152	153	727.68	-864434.78
-14.58390149793855	175.51270913275778		Point	64	186	0	153	153	753.33	-864456.35
-14.584431066225045	175.5136017564608		Point	65	196	0	154	154	806.24	-864487.74
-14.584752451247592	175.51392769654666		Point	67	0	0	155	156	825.56	-864506.79
-14.584975311937768	175.51450298417234		Point	68	0	0	156	157	859.66	-864520
-14.584975311937768	175.51450298417234		Point	68	0	26	158	158	859.66	-864520
-14.585000617845054	175.51454397974214		Point	68	30	0	159	159	862.09	-864521.5
-14.585013945622894	175.5145411117393		Point	69	4	0	162	164	861.92	-864522.29
-14.585000786551104	175.51453537573366		Point	69	8	0	164	164	861.58	-864521.51
-14.58502744210678	175.51450129711182		Point	69	62	0	165	166	859.56	-864523.09
-14.58502744210678	175.51450129711182		Point	69	62	21	166	166	859.56	-864523.09
-14.58504549365398	175.5145112507687		Point	69	96	0	167	168	860.15	-864524.16
-14.585047518126562	175.51450298417234		Point	69	104	0	168	172	859.66	-864524.28
-14.585047518126562	175.51450298417234		Point	69	104	170	172	173	859.66	-864524.28
-14.585041107296714	175.51449741687273		Point	69	108	0	173	176	859.33	-864523.9
-14.585041107296714	175.51449741687273		Point	69	108	88	176	176	859.33	-864523.9
-14.585041107296714	175.51449741687273		Point	69	108	164	177	178	859.33	-864523.9
-14.58504076988462	175.51449471757593		Point	69	120	0	178	181	859.17	-864523.88
-14.58504076988462	175.51449471757593		Point	69	120	22	181	181	859.17	-864523.88
-14.584899562921956	175.51444815470654		Point	70	0	0	182	183	856.41	-864515.51
-14.584910528815115	175.51444731117627		Point	70	34	0	183	184	856.36	-864516.16
-14.584910191403017	175.51444680505816		Point	70	45	0	184	184	856.33	-864516.14
-14.584909853990919	175.5144466363521		Point	70	100	0	187	187	856.32	-864516.12
-14.584758187253245	175.5144351643408		Point	71	0	0	188	189	855.64	-864507.13
-14.584594879798217	175.51446350695696		Point	72	0	0	189	190	857.32	-864497.45
-14.584561813412696	175.51446553142952		Point	72	6	0	190	190	857.44	-864495.49
-14.584393107364114	175.51446553142952		Point	73	0	31	191	191	857.44	-864485.49
-14.584443887884737	175.5148255501372		Point	75	0	0	192	193	878.78	-864488.5
-14.584443887884737	175.5148255501372		Point	75	0	17	193	193	878.78	-864488.5
-14.584421956098423	175.51482571884327		Point	76	0	21	194	194	878.79	-864487.2
-14.584421956098423	175.51482571884327		Point	76	0	99	195	195	878.79	-864487.2
-14.58440778479034	175.51482504401906		Point	76	2	0	200	200	878.75	-864486.36
-14.584746883947988	175.51485996617112		Point	78	0	0	201	202	880.82	-864506.46
-14.58511550666414	175.51498548347126		Point	79	0	0	202	203	888.26	-864528.31
-14.585327232755107	175.51509480499075		Point	80	0	0	203	204	894.74	-864540.86
-14.585330944288177	175.51509176828185		Point	81	0	0	204	205	894.56	-864541.08
-14.585421708142313	175.51513512573635		Point	82	0	0	206	206	897.13	-864546.46
-14.585396402235027	175.51518202601787		Point	84	0	0	209	210	899.91	-864544.96
-14.585413441545933	175.5151848940207		Point	85	0	0	210	212	900.08	-864545.97
-14.585413441545933	175.5151848940207		Point	85	0	19	212	213	900.08	-864545.97
-14.585413441545933	175.5151848940207		Point	85	0	110	213	215	900.08	-864545.97
-14.585413441545933	175.5151848940207		Point	85	0	223	215	216	900.08	-864545.97
-14.585413441545933	175.5151848940207		Point	85	0	254	216	218	900.08	-864545.97
-14.585413441545933	175.5151848940207		Point	85	0	316	218	223	900.08	-864545.97
-14.585416478254807	175.51518455660857		Point	85	12	0	223	225	900.06	-864546.15
-14.585416478254807	175.51518455660857		Point	85	12	53	225	225	900.06	-864546.15
-14.585403319183019	175.51523297524452		Point	85	42	0	226	227	902.93	-864545.37
-14.585403319183019	175.51523297524452		Point	85	42	24	227	227	902.93	-864545.37
-14.585421876848361	175.51524799008286		Point	86	0	21	228	229	903.82	-864546.47
-14.585421876848361	175.51524799008286		Point	86	0	136	229	229	903.82	-864546.47
-14.585421876848361	175.51524799008286		Point	86	0	192	230	230	903.82	-864546.47
-14.58540669330399	175.51523803642598		Point	86	12	0	237	238	903.23	-864545.57
-14.58543874745322	175.51538244880356		Point	87	0	0	239	239	911.79	-864547.47
-14.585423732614895	175.51540573023829		Point	88	0	34	240	240	913.17	-864546.58
-14.585423732614895	175.51540573023829		Point	88	0	126	258	259	913.17	-864546.58
-14.585423732614895	175.51540573023829		Point	88	0	193	259	261	913.17	-864546.58
-14.585442121574193	175.51538582292454		Point	88	15	0	261	263	911.99	-864547.67
-14.585337861236168	175.5154040431778		Point	88	45	0	263	264	913.07	-864541.49
-14.58527729576473	175.51541230977418		Point	88	100	0	264	265	913.56	-864537.9
-14.585289105188128	175.51542057637056		Point	89	0	0	265	266	914.05	-864538.6
-14.585289105188128	175.51542057637056		Point	89	0	20	266	268	914.05	-864538.6
-14.585289105188128	175.51542057637056		Point	89	0	29	268	270	914.05	-864538.6
-14.585289105188128	175.51542057637056		Point	89	11	0	271	271	914.05	-864538.6
-14.58530091461153	175.5154421707448		Point	89	53	24	272	272	915.33	-864539.3
-14.58530091461153	175.5154421707448		Point	89	53	142	273	273	915.33	-864539.3
-14.585260593865918	175.51545532981658		Point	89	82	0	277	281	916.11	-864536.91
-14.585208463696906	175.51549025196863		Point	89	87	0	281	283	918.18	-864533.82
-14.585208463696906	175.51549025196863		Point	89	87	18	283	283	918.18	-864533.82
-14.585208463696906	175.51549025196863		Point	89	87	122	285	287	918.18	-864533.82
-14.585196654273508	175.51550189268596		Point	89	92	0	292	296	918.87	-864533.12
-14.585200028394476	175.51547861125127		Point	89	102	0	296	296	917.49	-864533.32
-14.58520340251545	175.5154620780585		Point	89	118	0	297	304	916.51	-864533.52
-14.58520340251545	175.51547861125127		Point	89	126	0	304	304	917.49	-864533.52
-14.585164937536373	175.51567616603415		Point	89	206	0	305	306	929.2	-864531.24
-14.585057471783427	175.51585060808839		Point	90	0	0	306	310	939.54	-864524.87
-14.585088007578221	175.51611125893345		Point	90	130	0	310	310	954.99	-864526.68
-14.584956922978474	175.5163305767966		Point	91	176	0	311	312	967.99	-864518.91
-14.584803906592407	175.51651024873834		Point	92	0	0	312	313	978.64	-864509.84
-14.58467299069871	175.516956982355		Point	93	0	0	313	317	1005.12	-864502.08
-14.58449854864448	175.5175501528218		Point	94	0	0	317	325	1040.28	-864491.74
-14.584428366928268	175.51800515303484		Point	95	0	0	325	326	1067.25	-864487.58
-14.584145953002944	175.51839739459777		Point	96	0	0	326	328	1090.5	-864470.84
-14.583907402650249	175.51874982153328		Point	97	0	0	328	330	1111.39	-864456.7
-14.583766364393636	175.51911017765303		Point	98	0	0	330	331	1132.75	-864448.34
-14.583722838233102	175.51931937315325		Point	99	0	0	331	332	1145.15	-864445.76
-14.583724525293587	175.5193261213952		Point	99	46	0	332	333	1145.55	-864445.86
-14.583724525293587	175.5193261213952		Point	99	46	55	333	334	1145.55	-864445.86
-14.583724525293587	175.5193261213952		Point	99	46	145	334	334	1145.55	-864445.86
-14.583707654688729	175.51931279361736		Point	99	52	0	337	337	1144.76	-864444.86
-14.583774968402114	175.51927787146533		Point	101	0	0	338	339	1142.69	-864448.85
-14.583774968402114	175.51927787146533		Point	102	0	0	339	340	1142.69	-864448.85
-14.583774968402114	175.51927787146533		Point	102	1	0	340	342	1142.69	-864448.85
-14.583774968402114	175.51927787146533		Point	102	1	36	342	343	1142.69	-864448.85
-14.583774968402114	175.51927787146533		Point	102	1	57	343	343	1142.69	-864448.85
-14.583773281341626	175.51927787146533		Point	102	8	0	344	345	1142.69	-864448.75
-14.583769907220654	175.51927787146533		Point	102	15	0	345	346	1142.69	-864448.55
-14.5837648460392	175.51927618440482		Point	102	25	0	346	348	1142.59	-864448.25
-14.5837648460392	175.51927618440482		Point	102	25	57	348	350	1142.59	-864448.25
-14.5837648460392	175.51927618440482		Point	102	25	88	350	350	1142.59	-864448.25
-14.583786777825514	175.51920650880677		Point	102	51	0	351	351	1138.46	-864449.55
-14.583793526067456	175.51922810318098		Point	102	69	87	353	355	1139.74	-864449.95
-14.583793526067456	175.51922810318098		Point	102	69	161	355	358	1139.74	-864449.95
-14.583795213127944	175.51923636977736		Point	102	73	0	358	360	1140.23	-864450.05
-14.58378002958357	175.5192861380617		Point	102	93	0	360	360	1143.18	-864449.15
-14.583796900188428	175.51938736169083		Point	102	139	0	363	364	1149.18	-864450.15
-14.583755061088382	175.51949212814702		Point	102	174	0	364	365	1155.39	-864447.67
-14.583665984294731	175.5196149461504		Point	102	225	0	365	366	1162.67	-864442.39
-14.583693145968551	175.51981908046918		Point	102	283	0	366	367	1174.77	-864444
-14.583747131904097	175.52003637385974		Point	102	341	0	367	371	1187.65	-864447.2
-14.583819506798939	175.52008782920456		Point	102	377	0	371	372	1190.7	-864451.49
-14.583819506798939	175.52008782920456		Point	102	377	58	372	373	1190.7	-864451.49
-14.583819506798939	175.52008782920456		Point	102	377	120	373	373	1190.7	-864451.49
-14.58381005926022	175.52007095859972		Point	102	381	0	381	381	1189.7	-864450.93
-14.583959364113213	175.52027357456404		Point	102	461	0	382	385	1201.71	-864459.78
-14.583959364113213	175.52027357456404		Point	102	461	55	385	386	1201.71	-864459.78
-14.583939119387383	175.5202703691491		Point	102	465	0	386	388	1201.52	-864458.58
-14.584038487249996	175.52035489087947		Point	102	513	0	388	390	1206.53	-864464.47
-14.584153038656982	175.52045611450862		Point	103	0	0	390	392	1212.53	-864471.26
-14.584265734297436	175.52058888616884		Point	104	0	0	392	394	1220.4	-864477.94
-14.58432815553541	175.52066176718185		Point	104	32	0	394	398	1224.72	-864481.64
-14.584345026140268	175.52073312984038		Point	105	0	0	398	399	1228.95	-864482.64
-14.584345026140268	175.52073312984038		Point	105	0	26	399	399	1228.95	-864482.64
-14.584345026140268	175.52071980206256		Point	106	0	22	400	404	1228.16	-864482.64
-14.584326468474925	175.52075809833556		Point	106	18	0	404	404	1230.43	-864481.54
-14.584564006591327	175.5209902378584		Point	107	56	0	406	407	1244.19	-864495.62
-14.58455894540987	175.5210283654254		Point	107	76	0	407	409	1246.45	-864495.32
-14.584580877196185	175.52103511366735		Point	108	0	0	409	414	1246.85	-864496.62
-14.584577503075216	175.52104675438468		Point	108	8	0	414	415	1247.54	-864496.42
-14.584576538729173	175.52104258589603		Point	108	8	52	415	419	1247.2929140957	-864496.36283868
-14.584576538729173	175.52104258589603		Point	108	8	194	419	419	1247.2929140957	-864496.36283868
-14.584491631696485	175.5209273105023		Point	108	44	0	420	421	1240.46	-864491.33
-14.584402554902836	175.52078644095172		Point	108	84	0	421	421	1232.11	-864486.05
-14.58432815553541	175.52071490958713		Point	108	139	0	424	426	1227.87	-864481.64
-14.58432815553541	175.52071490958713		Point	108	139	14	426	426	1227.87	-864481.64
-14.58432815553541	175.52071490958713		Point	108	139	56	428	429	1227.87	-864481.64
-14.58432815553541	175.52071490958713		Point	108	139	186	429	429	1227.87	-864481.64
-14.584323263060002	175.5207199707686		Point	108	141	0	431	431	1228.17	-864481.35
-14.584555571288899	175.52098197126205		Point	108	255	0	434	436	1243.7	-864495.12
-14.5849004064522	175.52086235867358		Point	108	365	0	436	437	1236.61	-864515.56
-14.5849004064522	175.52086235867358		Point	109	0	0	437	439	1236.61	-864515.56
-14.584940727197809	175.52082912358202		Point	109	12	0	439	440	1234.64	-864517.95
-14.584957597802667	175.5208141087437		Point	109	18	0	440	441	1233.75	-864518.95
-14.584976155468013	175.5207974068449		Point	109	28	0	441	442	1232.76	-864520.05
-14.585082102866519	175.520637979629		Point	109	78	0	442	444	1223.31	-864526.33
-14.585134233035534	175.52065451282172		Point	109	136	0	444	449	1224.29	-864529.42
-14.585137607156502	175.52065282576126		Point	109	152	0	453	454	1224.19	-864529.62
-14.585135920096018	175.52063123138703		Point	109	174	0	454	455	1222.91	-864529.52
-14.585004666790223	175.5207311053678		Point	109	240	0	455	456	1228.83	-864521.74
-14.585004666790223	175.52068116837742		Point	109	284	0	456	457	1225.87	-864521.74
-14.585002857399765	175.52068526992474		Point	109	284	18	457	460	1226.1131179775	-864521.632748928
-14.585002857399765	175.52068526992474		Point	109	284	177	460	460	1226.1131179775	-864521.632748928
-14.584846420516653	175.52068302414395		Point	109	366	0	462	467	1225.98	-864512.36
-14.584821114609364	175.52070461851818		Point	109	392	0	467	470	1227.26	-864510.86
-14.58483123697228	175.5206946648613		Point	109	396	0	473	473	1226.67	-864511.46
-14.584814366367421	175.52069635192177		Point	110	4	0	474	475	1226.77	-864510.46
-14.5848146441381	175.52069645692097		Point	110	4	23	475	475	1226.7762237958	-864510.476464773
-14.58483967227471	175.52068639826493		Point	110	10	0	476	476	1226.18	-864511.96
-14.584856542879566	175.52078930895456		Point	110	138	0	480	481	1232.28	-864512.96
-14.584857114379336	175.52078965822395		Point	110	138	20	481	481	1232.3007028377	-864512.993875476
-14.584857114379336	175.52078965822395		Point	110	138	188	482	484	1232.3007028377	-864512.993875476
-14.584757343723002	175.52094721781603		Point	110	190	0	487	488	1241.64	-864507.08
-14.584686993300743	175.52110630761982		Point	110	244	0	488	490	1251.07	-864502.91
-14.584673496816857	175.52110462055936		Point	110	258	0	490	491	1250.97	-864502.11
-14.584675518876487	175.52110492300355		Point	110	258	22	491	491	1250.9879272879	-864502.229856973
-14.584675518876487	175.52110492300355		Point	110	258	78	492	494	1250.9879272879	-864502.229856973
-14.584675518876487	175.52110492300355		Point	110	258	130	494	494	1250.9879272879	-864502.229856973
-14.58468404374585	175.52107504305798		Point	110	306	22	495	497	1249.2168025526	-864502.735166026
-14.58468404374585	175.52107504305798		Point	110	306	154	497	500	1249.2168025526	-864502.735166026
-14.584924025298998	175.52085561043162		Point	110	406	0	503	507	1236.21	-864516.96
-14.584885222907825	175.52080415508684		Point	110	432	0	507	508	1233.16	-864514.66
-14.584885222907825	175.52080246802635		Point	110	436	0	508	513	1233.06	-864514.66
-14.584869870657403	175.52061824102128		Point	110	500	0	513	514	1222.14	-864513.75
-14.58484793887109	175.52060997442493		Point	110	508	0	514	514	1221.65	-864512.45
-14.585093406171776	175.5200667409485		Point	111	70	0	515	516	1189.45	-864527
-14.585162238239596	175.5198806581769		Point	111	120	0	516	520	1178.42	-864531.08
-14.585672067918408	175.519710939892		Point	111	263	0	520	521	1168.36	-864561.3
-14.585806695345175	175.5196792231549		Point	111	301	0	521	523	1166.48	-864569.28
-14.585993621647004	175.5197257860243		Point	111	351	0	523	524	1169.24	-864580.36
-14.586419435713621	175.51985180944257		Point	112	0	0	524	527	1176.71	-864605.6
-14.586608049075936	175.51998474980888		Point	112	100	0	527	528	1184.59	-864616.78
-14.586599782479556	175.5200046571226		Point	112	116	0	528	528	1185.77	-864616.29
-14.58663149921669	175.5199960531141		Point	112	126	36	529	529	1185.26	-864618.17
-14.58663149921669	175.5199960531141		Point	112	126	82	532	533	1185.26	-864618.17
-14.58663149921669	175.5199960531141		Point	112	126	182	533	536	1185.26	-864618.17
-14.586629980862252	175.51999470346576		Point	112	145	0	536	538	1185.18	-864618.08
-14.586629841733007	175.51999478640676		Point	112	145	22	538	538	1185.1849163036	-864618.071753156
-14.586616484378366	175.51999959594116		Point	112	151	0	543	544	1185.47	-864617.28
-14.586611929315053	175.520426253538		Point	112	261	0	544	547	1210.76	-864617.01
-14.586713152944203	175.52056560473414		Point	112	315	0	547	548	1219.02	-864623.01
-14.58700619535059	175.5206983763944		Point	112	395	0	548	549	1226.89	-864640.38
-14.58725571159644	175.52114494130498		Point	113	0	0	549	550	1253.36	-864655.17
-14.587289452806157	175.5212029761857		Point	113	24	0	550	550	1256.8	-864657.17
-14.587331629318301	175.52126438518738		Point	113	56	0	551	553	1260.44	-864659.67
-14.587331608059431	175.52126484335253		Point	113	56	85	553	556	1260.4671576011	-864659.668739887
-14.587331608059431	175.52126484335253		Point	113	56	197	556	556	1260.4671576011	-864659.668739887
-14.587326568136845	175.52127265178373		Point	113	92	0	562	565	1260.93	-864659.37
-14.587326562157243	175.5212750159414		Point	113	92	189	565	565	1261.0701347305	-864659.369645561
-14.587325059811711	175.5213090832649		Point	113	114	88	567	573	1263.0894650256	-864659.280594484
-14.587390676435305	175.52132090171364		Point	113	136	0	573	573	1263.79	-864663.17
-14.587692660262263	175.52185688082997		Point	113	293	0	576	576	1295.56	-864681.07
-14.587519736562468	175.52231660481237		Point	113	405	0	578	581	1322.81	-864670.82
-14.587343776153798	175.52301538526558		Point	113	581	0	581	582	1364.23	-864660.39
-14.587360815464706	175.52328092858605		Point	114	0	0	582	583	1379.97	-864661.4
-14.587360815464706	175.52328092858605		Point	114	3	0	583	589	1379.97	-864661.4
-14.587375999009078	175.52329577471832		Point	114	7	0	589	589	1380.85	-864662.3
-14.587895107520561	175.5235822375888		Point	114	155	0	590	591	1397.83	-864693.07
-14.587898481641533	175.5235822375888		Point	114	177	0	591	592	1397.83	-864693.27
-14.58779101588859	175.5237662958878		Point	114	231	0	592	598	1408.74	-864686.9
-14.587741585016353	175.52341994237008		Point	114	295	0	598	599	1388.21	-864683.97
-14.587744959137325	175.52333862605468		Point	114	333	0	599	600	1383.39	-864684.17
-14.587745191511097	175.5233387547471		Point	114	333	22	600	603	1383.3976282051	-864684.183773885
-14.587757274678873	175.52334976065387		Point	114	337	0	603	603	1384.05	-864684.9
-14.587265665253307	175.523568909811		Point	114	537	0	605	605	1397.04	-864655.76
-14.587260778496747	175.52356402550686		Point	114	541	16	607	611	1396.750484351	-864655.470338983
-14.587260778496747	175.52356402550686		Point	114	541	123	611	612	1396.750484351	-864655.470338983
-14.587267352313791	175.52357397099243		Point	114	545	0	612	612	1397.34	-864655.86
-14.586989999569925	175.52365798660463		Point	114	633	0	616	618	1402.32	-864639.42
-14.586983588740079	175.5237440266894		Point	114	657	0	618	618	1407.42	-864639.04
-14.586909695490801	175.5237985187431		Point	114	727	0	619	623	1410.65	-864634.66
-14.586909358078703	175.5237985187431		Point	114	727	33	623	624	1410.65	-864634.64
-14.587017161243745	175.5237109603039		Point	114	804	0	624	625	1405.46	-864641.03
-14.586971779316677	175.5237224323152		Point	114	852	0	625	626	1406.14	-864638.34
-14.586971779316677	175.52372411937566		Point	114	880	0	626	633	1406.24	-864638.34
-14.586971796668667	175.52372372715416		Point	114	880	130	633	633	1406.2167511886	-864638.341028534
-14.58700029063889	175.52369594546556		Point	114	890	0	634	635	1404.57	-864640.03
-14.586818931636666	175.52449038224833		Point	115	0	0	635	637	1451.66	-864629.28
